Source,Target,Weight,Type
3998,88,95,Directed
3998,3998,24,Directed
3998,13813,12,Directed
197061,88,69,Directed
197061,197061,43,Directed
89805,88,69,Directed
89805,3998,66,Directed
89805,13808,31,Directed
89805,13813,28,Directed
89805,11991,20,Directed
89805,92274,19,Directed
89805,9704,17,Directed
89805,39885,16,Directed
89805,35729,15,Directed
89805,16801,13,Directed
89805,110903,12,Directed
89805,1988,11,Directed
89805,677,11,Directed
89805,42172,10,Directed
89805,5226,10,Directed
89805,12751,9,Directed
89805,42182,9,Directed
89805,519,9,Directed
89805,64906,9,Directed
89805,6765,9,Directed
89805,98204,9,Directed
89805,19604,7,Directed
89805,64911,7,Directed
89805,20385,6,Directed
89805,3547,6,Directed
89805,3972,6,Directed
89805,511,6,Directed
377122,377122,58,Directed
120477,88,48,Directed
80101,207711,41,Directed
80101,13797,12,Directed
80101,88,10,Directed
80101,1988,9,Directed
207711,80101,16,Directed
26158,88,40,Directed
26158,3998,18,Directed
26158,677,11,Directed
26158,1988,9,Directed
26158,13798,7,Directed
26158,13813,7,Directed
26158,12751,6,Directed
26158,26158,6,Directed
26158,4336,6,Directed
26158,5226,6,Directed
11852,88,39,Directed
11852,3998,37,Directed
11852,13813,10,Directed
62391,88,37,Directed
62391,5193,9,Directed
17527,81181,36,Directed
17527,5859,11,Directed
17527,17527,10,Directed
17527,88,8,Directed
81181,17527,36,Directed
81181,5859,17,Directed
81181,81181,13,Directed
81181,88,13,Directed
81181,677,7,Directed
81181,12966,6,Directed
220058,220058,36,Directed
50219,4665,35,Directed
50219,3994,14,Directed
50219,6373,9,Directed
4665,88,8,Directed
6940,32972,33,Directed
6940,6940,12,Directed
6940,35376,9,Directed
32972,6940,11,Directed
142160,3998,32,Directed
142160,88,32,Directed
64911,88,32,Directed
64911,3998,20,Directed
64911,13813,11,Directed
64911,103447,8,Directed
64911,39885,8,Directed
64911,98992,7,Directed
64911,28951,6,Directed
162402,131327,31,Directed
162402,191140,19,Directed
162402,553,18,Directed
162402,162402,16,Directed
162402,202696,16,Directed
162402,88,10,Directed
162402,1988,6,Directed
131327,162402,15,Directed
131327,191140,11,Directed
131327,88,8,Directed
407912,88,31,Directed
407912,3998,22,Directed
407912,13813,9,Directed
13808,13808,10,Directed
181190,5516,30,Directed
360368,360368,30,Directed
266400,19913,29,Directed
35729,3998,28,Directed
35729,88,24,Directed
35729,3533,12,Directed
35729,35723,6,Directed
38819,9021,28,Directed
38819,33833,10,Directed
9021,50218,13,Directed
9021,8855,7,Directed
9021,35376,6,Directed
9021,50244,6,Directed
9021,8915,6,Directed
53508,88,28,Directed
53508,13813,20,Directed
53508,3998,20,Directed
53508,11991,12,Directed
53508,42182,8,Directed
53508,677,8,Directed
53508,92274,8,Directed
53508,103447,7,Directed
53508,19604,7,Directed
53508,42172,7,Directed
53508,349,6,Directed
53508,39885,6,Directed
85795,88,28,Directed
85795,11991,7,Directed
85795,3998,7,Directed
13813,16801,8,Directed
13813,103447,6,Directed
13813,39885,5,Directed
163806,677,27,Directed
163806,3994,11,Directed
163806,88,11,Directed
13854,13854,26,Directed
13854,117615,5,Directed
436078,216655,26,Directed
436078,68285,17,Directed
216655,68285,10,Directed
67382,67382,26,Directed
67382,88,11,Directed
67382,12751,10,Directed
67382,9704,9,Directed
67382,98204,8,Directed
67382,13808,6,Directed
67382,2177,6,Directed
67382,519,6,Directed
215057,1276,24,Directed
215057,88,8,Directed
215057,1988,5,Directed
1276,1988,18,Directed
1276,27483,14,Directed
1276,88,13,Directed
1276,349,8,Directed
1276,3998,8,Directed
1276,1276,7,Directed
247514,88,24,Directed
247514,3998,7,Directed
69970,141619,24,Directed
69970,68132,8,Directed
69970,88,7,Directed
141619,69970,20,Directed
141619,88,13,Directed
141619,93314,11,Directed
141619,3998,7,Directed
75798,88,24,Directed
75798,3998,23,Directed
75798,13813,13,Directed
75798,11991,11,Directed
75798,26153,10,Directed
75798,1988,6,Directed
28951,1988,23,Directed
28951,28951,5,Directed
28951,88,5,Directed
27311,88,22,Directed
27311,677,19,Directed
27311,13813,6,Directed
27311,4368,5,Directed
42180,42179,22,Directed
42180,42180,9,Directed
42180,88,6,Directed
209640,88,21,Directed
90442,88,21,Directed
90442,3998,19,Directed
90442,13813,9,Directed
90442,1988,7,Directed
92066,13813,21,Directed
92066,88,16,Directed
92066,3998,14,Directed
221491,88,20,Directed
221491,13813,18,Directed
221491,3998,18,Directed
221491,1276,14,Directed
221491,19604,10,Directed
221491,11991,9,Directed
221491,1988,8,Directed
30478,14957,20,Directed
14957,92274,7,Directed
3533,35729,20,Directed
3533,13808,8,Directed
3533,35723,8,Directed
3533,3533,7,Directed
3533,3998,7,Directed
3533,92274,7,Directed
3533,9704,5,Directed
11991,13809,8,Directed
11991,42182,7,Directed
11991,88,7,Directed
11991,19604,5,Directed
11991,56968,5,Directed
92274,3998,20,Directed
92274,13813,16,Directed
92274,88,11,Directed
92274,3547,6,Directed
92274,41655,6,Directed
92274,64906,6,Directed
11118,20683,19,Directed
20683,11118,6,Directed
142345,133894,19,Directed
133894,142345,6,Directed
164933,74039,19,Directed
164933,88,15,Directed
164933,187458,6,Directed
164933,164933,5,Directed
372150,275600,19,Directed
275600,372150,5,Directed
388659,1988,19,Directed
388659,88,18,Directed
56968,11991,19,Directed
9036,9021,19,Directed
9036,80426,6,Directed
123517,111728,18,Directed
111728,123517,9,Directed
111728,88,6,Directed
131851,88,18,Directed
131851,3994,12,Directed
131851,5383,5,Directed
553,677,6,Directed
227353,227353,18,Directed
324955,324955,18,Directed
324955,88,9,Directed
324955,1881,7,Directed
50250,9021,18,Directed
50250,38819,8,Directed
50250,50228,7,Directed
6765,89805,18,Directed
6765,13808,7,Directed
76165,88,18,Directed
76165,69237,9,Directed
76165,13813,8,Directed
76165,3998,8,Directed
76165,19604,6,Directed
98204,26153,18,Directed
98204,88,16,Directed
98204,98204,10,Directed
98204,67382,9,Directed
98204,11991,7,Directed
98204,4665,7,Directed
26153,88,9,Directed
26153,98204,7,Directed
158955,26153,17,Directed
158955,3998,9,Directed
158955,1988,8,Directed
158955,1276,7,Directed
158955,13813,6,Directed
158955,88,6,Directed
177652,3998,17,Directed
177652,88,7,Directed
182906,49179,17,Directed
182906,3998,11,Directed
182906,88,11,Directed
182906,116323,5,Directed
182906,182906,5,Directed
49179,88,8,Directed
49179,182906,6,Directed
230370,88,17,Directed
230370,19913,14,Directed
230370,14615,6,Directed
29252,88,17,Directed
29252,3998,13,Directed
29252,5226,5,Directed
68285,88,13,Directed
68285,1988,11,Directed
68285,6241,10,Directed
77058,88,17,Directed
77058,76165,12,Directed
5859,5859,8,Directed
98430,98433,17,Directed
98430,193543,10,Directed
98430,88,9,Directed
98433,88,6,Directed
98433,98430,6,Directed
130816,130814,16,Directed
130816,130815,5,Directed
130816,677,5,Directed
130814,130816,9,Directed
130814,130815,5,Directed
140402,216,16,Directed
14615,14588,16,Directed
14615,57105,10,Directed
14615,88,7,Directed
149327,88,16,Directed
202696,162402,7,Directed
167376,139524,16,Directed
167376,88,9,Directed
167376,677,7,Directed
167376,106925,6,Directed
167376,349,6,Directed
139524,167376,8,Directed
139524,26367,7,Directed
139524,106925,5,Directed
190358,1988,16,Directed
190358,677,6,Directed
314122,372414,16,Directed
372414,314122,9,Directed
372414,372414,8,Directed
331789,677,16,Directed
331789,88,6,Directed
57324,57319,16,Directed
57319,57324,6,Directed
71311,88,16,Directed
71311,35382,7,Directed
71311,54070,7,Directed
8855,9021,16,Directed
39885,103447,11,Directed
39885,89814,8,Directed
39885,88,6,Directed
10179,88,15,Directed
103447,39885,15,Directed
