Id,Label,PageRank,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,Community,InDegree,OutDegree,TotalDegree
3998,3998,0.01584895852691536,0.11503067484662577,0.002151008830209305,0.01376985193359215,2,72,3,75
88,88,0.06291755390913922,0.3450920245398773,0.0,0.03593645380264669,0,225,0,225
197061,197061,0.0006400835169744599,0.004601226993865031,0.0,0.0,0,1,2,3
89805,89805,0.0008961534973490783,0.046012269938650305,0.0003416169555096925,0.0004601226993865031,2,3,27,30
377122,377122,0.0028675805773927133,0.003067484662576687,0.0,0.0,-1,1,1,2
120477,120477,0.0004311397742572041,0.0015337423312883436,0.0,0.0,0,0,1,1
80101,80101,0.0024917903269728306,0.009202453987730062,1.4135874021090724e-05,0.00023596035865974517,3,2,4,6
207711,207711,0.0016397023460630316,0.003067484662576687,0.0,6.668444918644971e-05,3,1,1,2
26158,26158,0.0012378153085448823,0.023006134969325152,0.00041936426262569146,0.0010267200730112052,5,5,10,15
11852,11852,0.0004311397742572041,0.004601226993865031,0.0,0.0,2,0,3,3
62391,62391,0.0004311397742572041,0.003067484662576687,0.0,0.0,3,0,2,2
17527,17527,0.0008597798659692954,0.009202453987730062,0.0,4.2603953646898434e-05,10,2,4,6
81181,81181,0.0009502155785588416,0.012269938650306749,4.711958007030241e-06,4.2603953646898434e-05,10,2,6,8
220058,220058,0.0028675805773927133,0.003067484662576687,0.0,0.0,-1,1,1,2
50219,50219,0.0004311397742572041,0.004601226993865031,0.0,0.0,1,0,3,3
4665,4665,0.0009581436256361499,0.007668711656441718,2.3559790035151207e-06,0.0028127428362365336,1,4,1,5
6940,6940,0.012122243603606015,0.02147239263803681,0.0008057448192021713,0.0021222940263951793,4,11,3,14
32972,32972,0.007189603907362895,0.009202453987730062,8.245926512302922e-05,0.0009761808292069001,4,5,1,6
142160,142160,0.0005594359687390184,0.004601226993865031,0.0,0.00021910604732690623,2,1,2,3
64911,64911,0.0010738420442870497,0.013803680981595092,0.001192125375778651,0.006443546063996676,2,2,7,9
162402,162402,0.0019004654114980262,0.01687116564417178,4.0051643059757055e-05,0.0005112474437627812,9,4,7,11
131327,131327,0.0008630011111204369,0.006134969325153374,0.0,0.00013146362839614373,9,1,3,4
407912,407912,0.0004311397742572041,0.004601226993865031,0.0,0.0,2,0,3,3
13808,13808,0.019084024947360743,0.018404907975460124,0.0,0.004543382997370727,7,11,1,12
